,climate_model,rcp,climate_variable,url
0,BCC-CSM2-MR,historical,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/co2/gn/v20181126/co2_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_197001-200912.nc
0,BCC-CSM2-MR,historical,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/co2/gn/v20181126/co2_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_201001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://esgf-data3.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,historical,tas,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/tas/gn/v20181126/tas_Amon_BCC-CSM2-MR_historical_r1i1p1f1_gn_185001-201412.nc
0,BCC-CSM2-MR,ssp126,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp126,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp126,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp126,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp126,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp126,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp126,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://esgf-data3.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp126,tas,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp245,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp245,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp245,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp245,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp245,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp245,co2,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://esgf-data3.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp245,tas,http://esgf-data3.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/tas/gn/v20190314/tas_Amon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_201501-210012.nc
0,BCC-CSM2-MR,ssp370,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp370,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp370,co2,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_209501-210012.nc
0,BCC-CSM2-MR,ssp370,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_201501-205412.nc
0,BCC-CSM2-MR,ssp370,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_205501-209412.nc
0,BCC-CSM2-MR,ssp370,co2,http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/co2/gn/v20190314/co2_Amon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_209501-210012.nc
